Name,AbrahamSimpson,HomerSimpson,BartSimpson,LisaSimpson,MaggieSimpson
XR_007068865.1,0.000000,0.000000,3774.558249,0.000000,0.000000
NM_001377130.1,11354.929410,4066.083656,0.000000,0.000000,0.000000
NM_001377129.1,0.000000,0.000000,0.000000,6788.006376,0.000000
XM_047443014.1,0.000000,0.000000,0.000000,0.000000,0.000000
XM_047443012.1,0.000000,0.000000,0.000000,0.000000,0.000000
NM_004036.5,0.000000,0.000000,0.000000,0.000000,0.000000
XM_047443009.1,0.000000,0.000000,0.000000,0.000000,0.000000
XM_047443010.1,0.000000,0.000000,0.000000,0.000000,0.000000
NM_001320613.2,0.000000,0.000000,0.000000,0.000000,0.000000
XM_047443008.1,0.000000,4904.309998,0.000000,0.000000,0.000000
XM_017003187.2,0.000000,0.000000,0.000000,0.000000,0.000000
XM_011532491.2,0.000000,0.000000,0.000000,0.000000,0.000000
XM_011532494.2,0.000000,0.000000,6269.925725,0.000000,0.000000
XM_047443013.1,0.000000,0.000000,4694.805239,0.000000,0.000000
NM_001377128.1,0.000000,0.000000,0.000000,0.000000,0.000000
XM_047443007.1,0.000000,0.000000,0.000000,0.000000,6729.054064
XM_006711925.2,0.000000,0.000000,0.000000,0.000000,0.000000
XM_047443006.1,0.000000,0.000000,0.000000,0.000000,0.000000
XM_017003189.2,0.000000,0.000000,0.000000,0.000000,0.000000
XM_047443011.1,0.000000,0.000000,0.000000,0.000000,0.000000
XM_011532493.2,0.000000,0.000000,0.000000,9051.400734,0.000000
XM_011532490.2,0.000000,0.000000,0.000000,0.000000,0.000000
XM_017003188.2,0.000000,0.000000,0.000000,0.000000,0.000000
XM_011532489.2,0.000000,0.000000,0.000000,0.000000,0.000000
XM_011532492.3,0.000000,0.000000,0.000000,0.000000,0.000000
XM_047443005.1,0.000000,0.000000,0.000000,0.000000,6703.653616
NM_001377132.1,0.000000,0.000000,0.000000,0.000000,0.000000
XM_047443016.1,0.000000,0.000000,0.000000,0.000000,0.000000
XM_017003191.1,5046.404519,0.000000,0.000000,0.000000,0.000000
NM_001377131.1,0.000000,0.000000,0.000000,0.000000,0.000000
XM_047443015.1,0.000000,8392.296120,0.000000,0.000000,0.000000
XR_008486253.1,0.000000,0.000000,0.000000,0.000000,0.000000
XM_054340246.1,0.000000,0.000000,0.000000,0.000000,0.000000
XM_054340244.1,0.000000,0.000000,0.000000,0.000000,0.000000
XM_054340241.1,0.000000,0.000000,0.000000,0.000000,0.000000
XM_054340242.1,0.000000,0.000000,0.000000,0.000000,0.000000
XM_054340240.1,0.000000,0.000000,0.000000,0.000000,0.000000
XM_054340231.1,0.000000,0.000000,0.000000,0.000000,0.000000
XM_054340230.1,0.000000,0.000000,0.000000,0.000000,0.000000
XM_054340239.1,0.000000,0.000000,0.000000,0.000000,0.000000
XM_054340245.1,0.000000,0.000000,0.000000,0.000000,0.000000
XM_054340238.1,0.000000,0.000000,0.000000,0.000000,0.000000
XM_054340229.1,0.000000,0.000000,0.000000,0.000000,0.000000
XM_054340237.1,0.000000,0.000000,0.000000,0.000000,0.000000
XM_054340236.1,0.000000,0.000000,0.000000,0.000000,0.000000
XM_054340243.1,0.000000,0.000000,0.000000,0.000000,0.000000
XM_054340235.1,0.000000,0.000000,0.000000,0.000000,0.000000
XM_054340228.1,0.000000,0.000000,0.000000,0.000000,0.000000
XM_054340233.1,0.000000,0.000000,0.000000,0.000000,0.000000
XM_054340227.1,0.000000,0.000000,0.000000,0.000000,0.000000
XM_054340232.1,0.000000,0.000000,0.000000,0.000000,0.000000
XM_054340234.1,0.000000,0.000000,0.000000,0.000000,0.000000
XM_054340249.1,0.000000,0.000000,0.000000,0.000000,0.000000
XM_054340247.1,0.000000,0.000000,0.000000,0.000000,0.000000
XM_054340248.1,0.000000,0.000000,0.000000,0.000000,0.000000
NM_001138.2,196272.157182,171773.508407,208775.961778,196654.635278,167631.971344
XM_047433694.1,0.000000,28081.373200,0.000000,13718.374249,22803.652350
NM_032139.3,15719.611834,16562.375049,16826.295084,17513.035805,16000.920209
XM_011537912.3,0.000000,0.000000,0.000000,0.000000,0.000000
XM_011537911.3,0.000000,0.000000,0.000000,7504.577880,0.000000
XM_047428302.1,0.000000,0.000000,0.000000,0.000000,0.000000
XM_011537913.3,0.000000,0.000000,9413.837680,10181.714645,11754.371374
XM_047428308.1,0.000000,0.000000,0.000000,0.000000,0.000000
XM_011537915.3,6205.368142,0.000000,0.000000,0.000000,0.000000
XM_047428305.1,0.000000,0.000000,0.000000,0.000000,0.000000
XM_047428303.1,0.000000,0.000000,0.000000,0.000000,0.000000
XM_047428307.1,0.000000,0.000000,0.000000,0.000000,0.000000
XM_047428306.1,0.000000,0.000000,0.000000,0.000000,0.000000
XM_011537918.3,0.000000,1469.378948,547.081604,0.000000,3385.826366
NM_001286615.2,0.000000,0.000000,0.000000,0.000000,0.000000
NM_178826.4,0.000000,0.000000,0.000000,0.000000,0.000000
XM_011537916.3,0.000000,0.000000,7838.302490,0.000000,0.000000
NM_001286616.1,0.000000,17211.719068,0.000000,0.000000,0.000000
XM_024448842.2,0.000000,0.000000,0.000000,0.000000,0.000000
XM_024448841.2,13587.757513,0.000000,0.000000,0.000000,0.000000
XM_054371108.1,0.000000,0.000000,0.000000,0.000000,0.000000
XM_054371111.1,0.000000,0.000000,0.000000,0.000000,0.000000
XM_054371105.1,0.000000,0.000000,0.000000,0.000000,0.000000
XM_054371107.1,0.000000,0.000000,0.000000,0.000000,0.000000
XM_054371106.1,0.000000,0.000000,0.000000,0.000000,0.000000
XM_054371104.1,0.000000,0.000000,0.000000,0.000000,0.000000
XM_054371113.1,0.000000,0.000000,0.000000,0.000000,0.000000
XM_054371112.1,0.000000,0.000000,0.000000,0.000000,0.000000
XM_054371109.1,0.000000,0.000000,0.000000,0.000000,0.000000
XM_054371110.1,0.000000,0.000000,0.000000,0.000000,0.000000
XM_054371117.1,0.000000,0.000000,0.000000,0.000000,0.000000
XM_054371114.1,0.000000,0.000000,0.000000,0.000000,0.000000
NM_170731.5,1653.380069,0.000000,0.000000,0.000000,0.000000
NM_001143805.1,6627.782262,13187.646011,0.000000,0.000000,3729.438455
NM_001143806.1,0.000000,0.000000,0.000000,0.000000,10290.830211
NM_170732.4,0.000000,5655.738763,26052.582882,0.000000,0.000000
NM_001143807.2,0.000000,0.000000,0.000000,21830.046362,0.000000
NM_170733.4,2514.026093,0.000000,0.000000,0.000000,17109.252727
NM_001143808.2,0.000000,0.000000,6235.165668,0.000000,0.000000
NM_001143809.2,4756.153679,0.000000,0.000000,0.000000,0.000000
NM_001143810.2,2337.463600,0.000000,0.000000,5208.634825,0.000000
NM_001143811.2,0.000000,0.000000,0.000000,0.000000,0.000000
NM_001143812.2,0.000000,0.000000,0.000000,0.000000,0.000000
NM_001143813.2,0.000000,0.000000,0.000000,8469.334404,0.000000
NM_001709.5,0.000000,0.000000,0.000000,0.000000,0.000000
NM_001143814.2,0.000000,0.000000,0.000000,0.000000,0.000000
NM_170734.4,0.000000,0.000000,0.000000,0.000000,0.000000
NM_001143816.2,0.000000,0.000000,0.000000,0.000000,0.000000
NM_170735.6,0.000000,0.000000,0.000000,0.000000,0.000000
NM_001098517.2,8037.221875,0.000000,0.000000,8972.343841,7199.491834
XM_005271494.4,0.000000,0.000000,0.000000,0.000000,0.000000
NM_001301045.2,0.000000,0.000000,0.000000,0.000000,0.000000
NM_014333.4,0.000000,0.000000,0.000000,0.000000,0.000000
NM_001301044.2,0.000000,0.000000,0.000000,0.000000,0.000000
NM_001301043.2,0.000000,0.000000,0.000000,0.000000,0.000000
XM_047426695.1,0.000000,8338.954653,8488.416637,0.000000,0.000000
XM_017017457.3,0.000000,0.000000,0.000000,0.000000,0.000000
XM_047426691.1,0.000000,0.000000,0.000000,0.000000,0.000000
XM_047426690.1,0.000000,0.000000,0.000000,0.000000,0.000000
XM_047426693.1,0.000000,0.000000,0.000000,0.000000,0.000000
XM_047426692.1,0.000000,0.000000,0.000000,0.000000,0.000000
XM_047426694.1,0.000000,0.000000,0.000000,0.000000,0.000000
XM_054368269.1,0.000000,0.000000,0.000000,0.000000,986.587213
XM_054368264.1,0.000000,0.000000,0.000000,0.000000,0.000000
XM_054368266.1,0.000000,0.000000,0.000000,0.000000,0.000000
