Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52
AbrahamSimpson_R1 - polya	(1, 0.22727272727272727)	(2, 0.22727272727272727)	(3, 0.22727272727272727)	(4, 0.22727272727272727)	(5, 0.22727272727272727)	(6, 0.22727272727272727)	(7, 0.22727272727272727)	(8, 0.22727272727272727)	(9, 0.22727272727272727)	(10, 0.22727272727272724)	(15, 0.3333333333333333)	(20, 0.3939393939393939)	(25, 0.5151515151515151)	(30, 0.6060606060606061)	(35, 0.6060606060606061)	(40, 0.6060606060606061)	(45, 0.6060606060606061)	(50, 0.6666666666666666)	(55, 0.7272727272727273)	(60, 0.7575757575757576)	(65, 0.7575757575757576)	(70, 0.7575757575757576)	(75, 0.803030303030303)	(80, 0.909090909090909)	(85, 0.909090909090909)	(90, 1.0)	(95, 1.0757575757575757)	(100, 1.1363636363636365)	(105, 1.2121212121212122)	(110, 1.2878787878787878)	(115, 1.303030303030303)	(120, 1.3636363636363635)	(125, 1.3636363636363635)	(130, 1.4393939393939394)	(135, 1.5151515151515151)	(140, 1.6666666666666667)																	
AbrahamSimpson_R1_filtered - polya	(1, 0.22727272727272727)	(2, 0.22727272727272727)	(3, 0.22727272727272727)	(4, 0.22727272727272727)	(5, 0.22727272727272727)	(6, 0.22727272727272727)	(7, 0.22727272727272727)	(8, 0.22727272727272727)	(9, 0.22727272727272727)	(10, 0.22727272727272727)	(12, 0.22727272727272727)	(14, 0.22727272727272727)	(16, 0.34090909090909094)	(18, 0.3787878787878788)	(20, 0.3787878787878788)	(22, 0.3787878787878788)	(24, 0.45454545454545453)	(26, 0.49242424242424243)	(28, 0.5681818181818181)	(30, 0.6060606060606061)	(32, 0.6060606060606061)	(34, 0.6060606060606061)	(36, 0.6060606060606061)	(38, 0.6060606060606061)	(40, 0.6060606060606061)	(42, 0.6060606060606061)	(44, 0.6060606060606061)	(46, 0.6060606060606061)	(48, 0.6060606060606061)	(50, 0.6439393939393939)	(52, 0.6818181818181818)	(54, 0.6818181818181818)	(56, 0.7196969696969697)	(58, 0.7575757575757576)	(60, 0.7575757575757576)	(62, 0.7575757575757576)	(64, 0.7575757575757576)	(66, 0.7575757575757576)	(68, 0.7575757575757576)	(70, 0.7575757575757576)	(72, 0.7575757575757576)	(74, 0.7575757575757576)	(76, 0.7575757575757576)	(78, 0.7954545454545454)	(80, 0.8333333333333334)	(82, 0.8333333333333334)	(84, 0.8333333333333334)	(86, 0.8333333333333334)	(88, 0.8333333333333334)	(90, 0.9090909090909091)	(92, 0.9090909090909091)	(94, 0.9090909090909091)	(96, 0.9090909090909091)
AbrahamSimpson_R2 - polya	(1, 0.5303030303030303)	(2, 0.5303030303030303)	(3, 0.5303030303030303)	(4, 0.5303030303030303)	(5, 0.5303030303030303)	(6, 0.5303030303030303)	(7, 0.5303030303030303)	(8, 0.5303030303030303)	(9, 0.5303030303030303)	(10, 0.5454545454545454)	(15, 0.6060606060606061)	(20, 0.6060606060606061)	(25, 0.6515151515151515)	(30, 0.6818181818181818)	(35, 0.6818181818181818)	(40, 0.6818181818181818)	(45, 0.6818181818181818)	(50, 0.6818181818181818)	(55, 0.7121212121212122)	(60, 0.7575757575757576)	(65, 0.7575757575757576)	(70, 0.7575757575757576)	(75, 0.7575757575757576)	(80, 0.7575757575757576)	(85, 0.7575757575757576)	(90, 0.7575757575757576)	(95, 0.7575757575757576)	(100, 0.7575757575757576)	(105, 0.7575757575757576)	(110, 0.7575757575757576)	(115, 0.7575757575757576)	(120, 0.7575757575757576)	(125, 0.7575757575757576)	(130, 0.7575757575757576)	(135, 0.7575757575757576)	(140, 0.7575757575757576)																	
AbrahamSimpson_R2_filtered - polya	(1, 0.5303030303030303)	(2, 0.5303030303030303)	(3, 0.5303030303030303)	(4, 0.5303030303030303)	(5, 0.5303030303030303)	(6, 0.5303030303030303)	(7, 0.5303030303030303)	(8, 0.5303030303030303)	(9, 0.5303030303030303)	(10, 0.5303030303030303)	(12, 0.5303030303030303)	(14, 0.6060606060606061)	(16, 0.6060606060606061)	(18, 0.6060606060606061)	(20, 0.6060606060606061)	(22, 0.6060606060606061)	(24, 0.6060606060606061)	(26, 0.6439393939393939)	(28, 0.6818181818181818)	(30, 0.6818181818181818)	(32, 0.6818181818181818)	(34, 0.6818181818181818)	(36, 0.6818181818181818)	(38, 0.6818181818181818)	(40, 0.6818181818181818)	(42, 0.6818181818181818)	(44, 0.6818181818181818)	(46, 0.6818181818181818)	(48, 0.6818181818181818)	(50, 0.6818181818181818)	(52, 0.6818181818181818)	(54, 0.6818181818181818)	(56, 0.6818181818181818)	(58, 0.7575757575757576)	(60, 0.7575757575757576)	(62, 0.7575757575757576)	(64, 0.7575757575757576)	(66, 0.7575757575757576)	(68, 0.7575757575757576)	(70, 0.7575757575757576)	(72, 0.7575757575757576)	(74, 0.7575757575757576)	(76, 0.7575757575757576)	(78, 0.7575757575757576)	(80, 0.7575757575757576)	(82, 0.7575757575757576)	(84, 0.7575757575757576)	(86, 0.7575757575757576)	(88, 0.7575757575757576)	(90, 0.7575757575757576)	(92, 0.7575757575757576)	(94, 0.7575757575757576)	(96, 0.7575757575757576)
BartSimpson_R1 - polya	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.015060240963855423)	(40, 0.07530120481927711)	(45, 0.07530120481927711)	(50, 0.07530120481927711)	(55, 0.07530120481927711)	(60, 0.15060240963855423)	(65, 0.286144578313253)	(70, 0.30120481927710846)	(75, 0.30120481927710846)	(80, 0.30120481927710846)	(85, 0.3162650602409639)	(90, 0.37650602409638556)	(95, 0.37650602409638556)	(100, 0.37650602409638556)	(105, 0.37650602409638556)	(110, 0.45180722891566266)	(115, 0.5120481927710843)	(120, 0.5271084337349398)	(125, 0.5271084337349398)	(130, 0.5271084337349398)	(135, 0.5873493975903614)	(140, 0.6024096385542169)																	
BartSimpson_R1_filtered - polya	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.0)	(30, 0.0)	(32, 0.0)	(34, 0.0)	(36, 0.0)	(38, 0.03765060240963856)	(40, 0.07530120481927711)	(42, 0.07530120481927711)	(44, 0.07530120481927711)	(46, 0.07530120481927711)	(48, 0.07530120481927711)	(50, 0.07530120481927711)	(52, 0.07530120481927711)	(54, 0.07530120481927711)	(56, 0.07530120481927711)	(58, 0.07530120481927711)	(60, 0.15060240963855423)	(62, 0.15060240963855423)	(64, 0.18825301204819278)	(66, 0.30120481927710846)	(68, 0.30120481927710846)	(70, 0.30120481927710846)	(72, 0.30120481927710846)	(74, 0.30120481927710846)	(76, 0.30120481927710846)	(78, 0.30120481927710846)	(80, 0.30120481927710846)	(82, 0.30120481927710846)	(84, 0.30120481927710846)	(86, 0.30120481927710846)	(88, 0.338855421686747)	(90, 0.37650602409638556)	(92, 0.37650602409638556)	(94, 0.37650602409638556)	(96, 0.37650602409638556)
BartSimpson_R2 - polya	(1, 0.15060240963855423)	(2, 0.15060240963855423)	(3, 0.15060240963855423)	(4, 0.15060240963855423)	(5, 0.15060240963855423)	(6, 0.15060240963855423)	(7, 0.15060240963855423)	(8, 0.15060240963855423)	(9, 0.15060240963855423)	(10, 0.15060240963855423)	(15, 0.15060240963855423)	(20, 0.15060240963855423)	(25, 0.15060240963855423)	(30, 0.15060240963855423)	(35, 0.16566265060240964)	(40, 0.22590361445783133)	(45, 0.22590361445783133)	(50, 0.30120481927710846)	(55, 0.30120481927710846)	(60, 0.30120481927710846)	(65, 0.30120481927710846)	(70, 0.30120481927710846)	(75, 0.30120481927710846)	(80, 0.30120481927710846)	(85, 0.30120481927710846)	(90, 0.3313253012048193)	(95, 0.37650602409638556)	(100, 0.37650602409638556)	(105, 0.37650602409638556)	(110, 0.37650602409638556)	(115, 0.37650602409638556)	(120, 0.42168674698795183)	(125, 0.45180722891566266)	(130, 0.45180722891566266)	(135, 0.48192771084337344)	(140, 0.5271084337349398)																	
BartSimpson_R2_filtered - polya	(1, 0.15060240963855423)	(2, 0.15060240963855423)	(3, 0.15060240963855423)	(4, 0.15060240963855423)	(5, 0.15060240963855423)	(6, 0.15060240963855423)	(7, 0.15060240963855423)	(8, 0.15060240963855423)	(9, 0.15060240963855423)	(10, 0.15060240963855423)	(12, 0.15060240963855423)	(14, 0.15060240963855423)	(16, 0.15060240963855423)	(18, 0.15060240963855423)	(20, 0.15060240963855423)	(22, 0.15060240963855423)	(24, 0.15060240963855423)	(26, 0.15060240963855423)	(28, 0.15060240963855423)	(30, 0.15060240963855423)	(32, 0.15060240963855423)	(34, 0.15060240963855423)	(36, 0.15060240963855423)	(38, 0.18825301204819278)	(40, 0.22590361445783133)	(42, 0.22590361445783133)	(44, 0.22590361445783133)	(46, 0.22590361445783133)	(48, 0.22590361445783133)	(50, 0.30120481927710846)	(52, 0.30120481927710846)	(54, 0.30120481927710846)	(56, 0.30120481927710846)	(58, 0.30120481927710846)	(60, 0.30120481927710846)	(62, 0.30120481927710846)	(64, 0.30120481927710846)	(66, 0.30120481927710846)	(68, 0.30120481927710846)	(70, 0.30120481927710846)	(72, 0.30120481927710846)	(74, 0.30120481927710846)	(76, 0.30120481927710846)	(78, 0.30120481927710846)	(80, 0.30120481927710846)	(82, 0.30120481927710846)	(84, 0.30120481927710846)	(86, 0.30120481927710846)	(88, 0.30120481927710846)	(90, 0.30120481927710846)	(92, 0.338855421686747)	(94, 0.37650602409638556)	(96, 0.37650602409638556)
HomerSimpson_R1 - polya	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.015151515151515152)	(15, 0.07575757575757576)	(20, 0.07575757575757576)	(25, 0.07575757575757576)	(30, 0.07575757575757576)	(35, 0.07575757575757576)	(40, 0.07575757575757576)	(45, 0.07575757575757576)	(50, 0.07575757575757576)	(55, 0.07575757575757576)	(60, 0.07575757575757576)	(65, 0.13636363636363635)	(70, 0.15151515151515152)	(75, 0.15151515151515152)	(80, 0.18181818181818182)	(85, 0.28787878787878785)	(90, 0.30303030303030304)	(95, 0.36363636363636365)	(100, 0.3787878787878788)	(105, 0.3787878787878788)	(110, 0.3787878787878788)	(115, 0.3787878787878788)	(120, 0.3787878787878788)	(125, 0.3787878787878788)	(130, 0.4545454545454545)	(135, 0.4545454545454545)	(140, 0.45454545454545453)																	
HomerSimpson_R1_filtered - polya	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.07575757575757576)	(16, 0.07575757575757576)	(18, 0.07575757575757576)	(20, 0.07575757575757576)	(22, 0.07575757575757576)	(24, 0.07575757575757576)	(26, 0.07575757575757576)	(28, 0.07575757575757576)	(30, 0.07575757575757576)	(32, 0.07575757575757576)	(34, 0.07575757575757576)	(36, 0.07575757575757576)	(38, 0.07575757575757576)	(40, 0.07575757575757576)	(42, 0.07575757575757576)	(44, 0.07575757575757576)	(46, 0.07575757575757576)	(48, 0.07575757575757576)	(50, 0.07575757575757576)	(52, 0.07575757575757576)	(54, 0.07575757575757576)	(56, 0.07575757575757576)	(58, 0.07575757575757576)	(60, 0.07575757575757576)	(62, 0.07575757575757576)	(64, 0.07575757575757576)	(66, 0.15151515151515152)	(68, 0.15151515151515152)	(70, 0.15151515151515152)	(72, 0.15151515151515152)	(74, 0.15151515151515152)	(76, 0.15151515151515152)	(78, 0.15151515151515152)	(80, 0.15151515151515152)	(82, 0.1893939393939394)	(84, 0.22727272727272727)	(86, 0.30303030303030304)	(88, 0.30303030303030304)	(90, 0.30303030303030304)	(92, 0.30303030303030304)	(94, 0.30303030303030304)	(96, 0.3787878787878788)
HomerSimpson_R2 - polya	(1, 0.30303030303030304)	(2, 0.30303030303030304)	(3, 0.30303030303030304)	(4, 0.30303030303030304)	(5, 0.30303030303030304)	(6, 0.30303030303030304)	(7, 0.30303030303030304)	(8, 0.30303030303030304)	(9, 0.30303030303030304)	(10, 0.30303030303030304)	(15, 0.30303030303030304)	(20, 0.36363636363636365)	(25, 0.4242424242424242)	(30, 0.4545454545454545)	(35, 0.4545454545454545)	(40, 0.4545454545454545)	(45, 0.4545454545454545)	(50, 0.4545454545454545)	(55, 0.4545454545454545)	(60, 0.4545454545454545)	(65, 0.48484848484848475)	(70, 0.5303030303030303)	(75, 0.5606060606060606)	(80, 0.6060606060606061)	(85, 0.6060606060606061)	(90, 0.6060606060606061)	(95, 0.6060606060606061)	(100, 0.6515151515151515)	(105, 0.6818181818181818)	(110, 0.6818181818181818)	(115, 0.6818181818181818)	(120, 0.7121212121212122)	(125, 0.7575757575757576)	(130, 0.7575757575757576)	(135, 0.8181818181818181)	(140, 0.8333333333333334)																	
HomerSimpson_R2_filtered - polya	(1, 0.30303030303030304)	(2, 0.30303030303030304)	(3, 0.30303030303030304)	(4, 0.30303030303030304)	(5, 0.30303030303030304)	(6, 0.30303030303030304)	(7, 0.30303030303030304)	(8, 0.30303030303030304)	(9, 0.30303030303030304)	(10, 0.30303030303030304)	(12, 0.30303030303030304)	(14, 0.30303030303030304)	(16, 0.30303030303030304)	(18, 0.30303030303030304)	(20, 0.34090909090909094)	(22, 0.3787878787878788)	(24, 0.3787878787878788)	(26, 0.41666666666666663)	(28, 0.45454545454545453)	(30, 0.45454545454545453)	(32, 0.45454545454545453)	(34, 0.45454545454545453)	(36, 0.45454545454545453)	(38, 0.45454545454545453)	(40, 0.45454545454545453)	(42, 0.45454545454545453)	(44, 0.45454545454545453)	(46, 0.45454545454545453)	(48, 0.45454545454545453)	(50, 0.45454545454545453)	(52, 0.45454545454545453)	(54, 0.45454545454545453)	(56, 0.45454545454545453)	(58, 0.45454545454545453)	(60, 0.45454545454545453)	(62, 0.45454545454545453)	(64, 0.45454545454545453)	(66, 0.45454545454545453)	(68, 0.5303030303030303)	(70, 0.5303030303030303)	(72, 0.5303030303030303)	(74, 0.5303030303030303)	(76, 0.5303030303030303)	(78, 0.6060606060606061)	(80, 0.6060606060606061)	(82, 0.6060606060606061)	(84, 0.6060606060606061)	(86, 0.6060606060606061)	(88, 0.6060606060606061)	(90, 0.6060606060606061)	(92, 0.6060606060606061)	(94, 0.6060606060606061)	(96, 0.6060606060606061)
LisaSimpson_R1 - polya	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.07575757575757576)	(35, 0.07575757575757576)	(40, 0.09090909090909091)	(45, 0.19696969696969696)	(50, 0.30303030303030304)	(55, 0.30303030303030304)	(60, 0.30303030303030304)	(65, 0.3787878787878788)	(70, 0.3787878787878788)	(75, 0.40909090909090906)	(80, 0.4545454545454545)	(85, 0.4545454545454545)	(90, 0.4545454545454545)	(95, 0.4545454545454545)	(100, 0.4545454545454545)	(105, 0.4545454545454545)	(110, 0.4545454545454545)	(115, 0.4545454545454545)	(120, 0.4545454545454545)	(125, 0.5606060606060606)	(130, 0.6060606060606061)	(135, 0.6666666666666666)	(140, 0.7575757575757576)																	
LisaSimpson_R1_filtered - polya	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.0)	(30, 0.07575757575757576)	(32, 0.07575757575757576)	(34, 0.07575757575757576)	(36, 0.07575757575757576)	(38, 0.07575757575757576)	(40, 0.07575757575757576)	(42, 0.07575757575757576)	(44, 0.15151515151515152)	(46, 0.15151515151515152)	(48, 0.26515151515151514)	(50, 0.30303030303030304)	(52, 0.30303030303030304)	(54, 0.30303030303030304)	(56, 0.30303030303030304)	(58, 0.30303030303030304)	(60, 0.30303030303030304)	(62, 0.30303030303030304)	(64, 0.34090909090909094)	(66, 0.3787878787878788)	(68, 0.3787878787878788)	(70, 0.3787878787878788)	(72, 0.3787878787878788)	(74, 0.3787878787878788)	(76, 0.3787878787878788)	(78, 0.45454545454545453)	(80, 0.45454545454545453)	(82, 0.45454545454545453)	(84, 0.45454545454545453)	(86, 0.45454545454545453)	(88, 0.45454545454545453)	(90, 0.45454545454545453)	(92, 0.45454545454545453)	(94, 0.45454545454545453)	(96, 0.45454545454545453)
LisaSimpson_R2 - polya	(1, 0.22727272727272727)	(2, 0.22727272727272727)	(3, 0.22727272727272727)	(4, 0.22727272727272727)	(5, 0.22727272727272727)	(6, 0.22727272727272727)	(7, 0.22727272727272727)	(8, 0.22727272727272727)	(9, 0.22727272727272727)	(10, 0.22727272727272724)	(15, 0.24242424242424243)	(20, 0.30303030303030304)	(25, 0.30303030303030304)	(30, 0.30303030303030304)	(35, 0.30303030303030304)	(40, 0.30303030303030304)	(45, 0.30303030303030304)	(50, 0.30303030303030304)	(55, 0.30303030303030304)	(60, 0.30303030303030304)	(65, 0.30303030303030304)	(70, 0.30303030303030304)	(75, 0.30303030303030304)	(80, 0.30303030303030304)	(85, 0.3181818181818182)	(90, 0.3787878787878788)	(95, 0.40909090909090906)	(100, 0.4545454545454545)	(105, 0.4545454545454545)	(110, 0.4545454545454545)	(115, 0.4696969696969697)	(120, 0.5303030303030303)	(125, 0.5303030303030303)	(130, 0.5303030303030303)	(135, 0.5303030303030303)	(140, 0.5303030303030303)																	
LisaSimpson_R2_filtered - polya	(1, 0.22727272727272727)	(2, 0.22727272727272727)	(3, 0.22727272727272727)	(4, 0.22727272727272727)	(5, 0.22727272727272727)	(6, 0.22727272727272727)	(7, 0.22727272727272727)	(8, 0.22727272727272727)	(9, 0.22727272727272727)	(10, 0.22727272727272727)	(12, 0.22727272727272727)	(14, 0.22727272727272727)	(16, 0.22727272727272727)	(18, 0.26515151515151514)	(20, 0.30303030303030304)	(22, 0.30303030303030304)	(24, 0.30303030303030304)	(26, 0.30303030303030304)	(28, 0.30303030303030304)	(30, 0.30303030303030304)	(32, 0.30303030303030304)	(34, 0.30303030303030304)	(36, 0.30303030303030304)	(38, 0.30303030303030304)	(40, 0.30303030303030304)	(42, 0.30303030303030304)	(44, 0.30303030303030304)	(46, 0.30303030303030304)	(48, 0.30303030303030304)	(50, 0.30303030303030304)	(52, 0.30303030303030304)	(54, 0.30303030303030304)	(56, 0.30303030303030304)	(58, 0.30303030303030304)	(60, 0.30303030303030304)	(62, 0.30303030303030304)	(64, 0.30303030303030304)	(66, 0.30303030303030304)	(68, 0.30303030303030304)	(70, 0.30303030303030304)	(72, 0.30303030303030304)	(74, 0.30303030303030304)	(76, 0.30303030303030304)	(78, 0.30303030303030304)	(80, 0.30303030303030304)	(82, 0.30303030303030304)	(84, 0.30303030303030304)	(86, 0.30303030303030304)	(88, 0.34090909090909094)	(90, 0.3787878787878788)	(92, 0.3787878787878788)	(94, 0.3787878787878788)	(96, 0.3787878787878788)
MaggieSimpson_R1 - polya	(1, 0.07530120481927711)	(2, 0.07530120481927711)	(3, 0.07530120481927711)	(4, 0.07530120481927711)	(5, 0.07530120481927711)	(6, 0.07530120481927711)	(7, 0.07530120481927711)	(8, 0.07530120481927711)	(9, 0.07530120481927711)	(10, 0.07530120481927711)	(15, 0.12048192771084339)	(20, 0.15060240963855423)	(25, 0.15060240963855423)	(30, 0.15060240963855423)	(35, 0.24096385542168677)	(40, 0.30120481927710846)	(45, 0.30120481927710846)	(50, 0.30120481927710846)	(55, 0.30120481927710846)	(60, 0.30120481927710846)	(65, 0.3313253012048193)	(70, 0.37650602409638556)	(75, 0.37650602409638556)	(80, 0.37650602409638556)	(85, 0.37650602409638556)	(90, 0.37650602409638556)	(95, 0.37650602409638556)	(100, 0.4066265060240964)	(105, 0.48192771084337344)	(110, 0.5271084337349398)	(115, 0.572289156626506)	(120, 0.677710843373494)	(125, 0.783132530120482)	(130, 0.9036144578313253)	(135, 0.9036144578313253)	(140, 0.9036144578313253)																	
MaggieSimpson_R1_filtered - polya	(1, 0.07530120481927711)	(2, 0.07530120481927711)	(3, 0.07530120481927711)	(4, 0.07530120481927711)	(5, 0.07530120481927711)	(6, 0.07530120481927711)	(7, 0.07530120481927711)	(8, 0.07530120481927711)	(9, 0.07530120481927711)	(10, 0.07530120481927711)	(12, 0.07530120481927711)	(14, 0.07530120481927711)	(16, 0.11295180722891568)	(18, 0.15060240963855423)	(20, 0.15060240963855423)	(22, 0.15060240963855423)	(24, 0.15060240963855423)	(26, 0.15060240963855423)	(28, 0.15060240963855423)	(30, 0.15060240963855423)	(32, 0.15060240963855423)	(34, 0.18825301204819278)	(36, 0.22590361445783133)	(38, 0.2635542168674699)	(40, 0.30120481927710846)	(42, 0.30120481927710846)	(44, 0.30120481927710846)	(46, 0.30120481927710846)	(48, 0.30120481927710846)	(50, 0.30120481927710846)	(52, 0.30120481927710846)	(54, 0.30120481927710846)	(56, 0.30120481927710846)	(58, 0.30120481927710846)	(60, 0.30120481927710846)	(62, 0.30120481927710846)	(64, 0.30120481927710846)	(66, 0.30120481927710846)	(68, 0.37650602409638556)	(70, 0.37650602409638556)	(72, 0.37650602409638556)	(74, 0.37650602409638556)	(76, 0.37650602409638556)	(78, 0.37650602409638556)	(80, 0.37650602409638556)	(82, 0.37650602409638556)	(84, 0.37650602409638556)	(86, 0.37650602409638556)	(88, 0.37650602409638556)	(90, 0.37650602409638556)	(92, 0.37650602409638556)	(94, 0.37650602409638556)	(96, 0.37650602409638556)
