Sample	0	1	2	3	4	5	6	7	8	9	10
AbrahamSimpson_R1	(35.0, 347.0)	(36.0, 973.0)									
AbrahamSimpson_R1_filtered	(34.0, 2.0)	(35.0, 359.0)	(36.0, 958.0)	(37.0, 1.0)							
AbrahamSimpson_R2	(29.0, 8.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.0)	(34.0, 9.0)	(35.0, 595.0)	(36.0, 708.0)			
AbrahamSimpson_R2_filtered	(28.0, 5.0)	(29.0, 3.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.0)	(34.0, 6.0)	(35.0, 474.0)	(36.0, 821.0)	(37.0, 11.0)	
BartSimpson_R1	(35.0, 334.0)	(36.0, 994.0)									
BartSimpson_R1_filtered	(35.0, 283.0)	(36.0, 1031.0)	(37.0, 14.0)								
BartSimpson_R2	(28.0, 4.0)	(29.0, 0.0)	(30.0, 2.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.0)	(34.0, 3.0)	(35.0, 564.0)	(36.0, 755.0)		
BartSimpson_R2_filtered	(28.0, 4.0)	(29.0, 0.0)	(30.0, 2.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.0)	(34.0, 8.0)	(35.0, 500.0)	(36.0, 808.0)	(37.0, 6.0)	
HomerSimpson_R1	(35.0, 415.0)	(36.0, 905.0)									
HomerSimpson_R1_filtered	(34.0, 8.0)	(35.0, 336.0)	(36.0, 967.0)	(37.0, 9.0)							
HomerSimpson_R2	(27.0, 2.0)	(28.0, 3.0)	(29.0, 1.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.0)	(34.0, 1.0)	(35.0, 643.0)	(36.0, 670.0)	
HomerSimpson_R2_filtered	(27.0, 3.0)	(28.0, 2.0)	(29.0, 1.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.0)	(34.0, 0.0)	(35.0, 525.0)	(36.0, 781.0)	(37.0, 8.0)
LisaSimpson_R1	(29.0, 8.0)	(30.0, 7.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.0)	(34.0, 8.0)	(35.0, 420.0)	(36.0, 877.0)			
LisaSimpson_R1_filtered	(29.0, 8.0)	(30.0, 7.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.0)	(34.0, 8.0)	(35.0, 315.0)	(36.0, 982.0)			
LisaSimpson_R2	(28.0, 4.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.0)	(34.0, 11.0)	(35.0, 544.0)	(36.0, 761.0)		
LisaSimpson_R2_filtered	(29.0, 4.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.0)	(34.0, 16.0)	(35.0, 466.0)	(36.0, 828.0)	(37.0, 6.0)		
MaggieSimpson_R1	(28.0, 5.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.0)	(34.0, 0.0)	(35.0, 354.0)	(36.0, 969.0)		
MaggieSimpson_R1_filtered	(28.0, 1.0)	(29.0, 4.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.0)	(34.0, 0.0)	(35.0, 279.0)	(36.0, 1036.0)	(37.0, 8.0)	
MaggieSimpson_R2	(28.0, 1.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.0)	(34.0, 9.0)	(35.0, 603.0)	(36.0, 707.0)	(37.0, 8.0)	
MaggieSimpson_R2_filtered	(28.0, 1.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.0)	(34.0, 5.0)	(35.0, 576.0)	(36.0, 738.0)	(37.0, 8.0)	
