Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33
AbrahamSimpson_R1	(151, 1320.0)																																	
AbrahamSimpson_R1_filtered	(48, 1.0)	(50, 0.0)	(52, 0.0)	(54, 0.0)	(56, 0.0)	(58, 0.0)	(60, 0.0)	(62, 0.0)	(64, 4.0)	(66, 0.0)	(68, 0.0)	(70, 0.0)	(72, 0.0)	(74, 5.0)	(76, 1.0)	(78, 0.0)	(80, 0.0)	(82, 0.0)	(84, 0.0)	(86, 0.0)	(88, 1.0)	(90, 0.0)	(92, 1.0)	(94, 8.0)	(96, 0.0)	(98, 0.0)	(100, 2.0)	(102, 0.0)	(104, 0.0)	(106, 0.0)	(108, 1297.0)			
AbrahamSimpson_R2	(151, 1320.0)																																	
AbrahamSimpson_R2_filtered	(48, 1.0)	(50, 0.0)	(52, 0.0)	(54, 0.0)	(56, 0.0)	(58, 0.0)	(60, 0.0)	(62, 0.0)	(64, 4.0)	(66, 0.0)	(68, 0.0)	(70, 0.0)	(72, 0.0)	(74, 5.0)	(76, 1.0)	(78, 0.0)	(80, 0.0)	(82, 0.0)	(84, 0.0)	(86, 0.0)	(88, 1.0)	(90, 0.0)	(92, 1.0)	(94, 8.0)	(96, 0.0)	(98, 0.0)	(100, 2.0)	(102, 0.0)	(104, 0.0)	(106, 0.0)	(108, 1297.0)			
BartSimpson_R1	(151, 1328.0)																																	
BartSimpson_R1_filtered	(42, 1.0)	(44, 0.0)	(46, 0.0)	(48, 0.0)	(50, 0.0)	(52, 0.0)	(54, 0.0)	(56, 0.0)	(58, 0.0)	(60, 0.0)	(62, 5.0)	(64, 0.0)	(66, 0.0)	(68, 0.0)	(70, 0.0)	(72, 0.0)	(74, 0.0)	(76, 0.0)	(78, 0.0)	(80, 0.0)	(82, 0.0)	(84, 0.0)	(86, 0.0)	(88, 0.0)	(90, 0.0)	(92, 0.0)	(94, 3.0)	(96, 0.0)	(98, 3.0)	(100, 0.0)	(102, 4.0)	(104, 6.0)	(106, 6.0)	(108, 1300.0)
BartSimpson_R2	(151, 1328.0)																																	
BartSimpson_R2_filtered	(42, 1.0)	(44, 0.0)	(46, 0.0)	(48, 0.0)	(50, 0.0)	(52, 0.0)	(54, 0.0)	(56, 0.0)	(58, 0.0)	(60, 0.0)	(62, 5.0)	(64, 0.0)	(66, 0.0)	(68, 0.0)	(70, 0.0)	(72, 0.0)	(74, 0.0)	(76, 0.0)	(78, 0.0)	(80, 0.0)	(82, 0.0)	(84, 0.0)	(86, 0.0)	(88, 0.0)	(90, 0.0)	(92, 0.0)	(94, 3.0)	(96, 0.0)	(98, 3.0)	(100, 0.0)	(102, 4.0)	(104, 6.0)	(106, 6.0)	(108, 1300.0)
HomerSimpson_R1	(151, 1320.0)																																	
HomerSimpson_R1_filtered	(48, 1.0)	(50, 0.0)	(52, 0.0)	(54, 0.0)	(56, 1.0)	(58, 0.0)	(60, 0.0)	(62, 0.0)	(64, 0.0)	(66, 0.0)	(68, 0.0)	(70, 0.0)	(72, 0.0)	(74, 0.0)	(76, 1.0)	(78, 0.0)	(80, 0.0)	(82, 0.0)	(84, 0.0)	(86, 0.0)	(88, 5.0)	(90, 0.0)	(92, 11.0)	(94, 1.0)	(96, 4.0)	(98, 1.0)	(100, 3.0)	(102, 0.0)	(104, 3.0)	(106, 2.0)	(108, 1287.0)			
