UniqueCount	AmbigCount
0	29
0	25
0	29
0	29
0	29
0	28
0	28
0	28
0	28
0	30
0	29
0	29
0	29
0	29
0	28
0	28
0	28
0	28
0	30
0	30
0	30
0	29
0	29
0	29
0	29
0	29
0	22
0	18
0	18
0	17
0	18
0	27
0	27
0	27
0	26
0	26
0	28
0	27
0	27
0	27
0	27
0	26
0	26
0	26
0	28
0	28
0	28
0	27
0	27
0	27
0	27
0	27
0	16
0	16
0	16
0	31
1	31
32	0
0	29
0	31
0	29
0	31
0	28
0	30
0	27
0	29
0	27
0	29
0	12
0	25
0	23
0	25
0	23
0	21
0	21
0	29
0	29
0	31
0	29
0	31
0	29
0	28
0	30
0	27
0	27
0	12
0	25
0	54
0	50
0	50
0	50
0	54
0	54
0	54
0	54
0	55
0	55
0	54
0	55
0	55
0	55
0	54
0	54
0	54
0	32
0	32
0	32
0	32
0	32
0	32
0	32
0	32
0	32
0	32
0	32
0	32
0	32
0	30
0	30
0	30
0	30
0	30
0	30
0	30
0	54
0	54
0	54
1	54
0	52
0	52
0	54
0	54
0	54
0	54
0	7
0	52
0	52
0	52
0	50
0	52
0	52
0	52
0	7
0	50
0	31
1	29
0	31
0	48
0	49
0	48
0	48
0	49
0	48
0	48
0	50
0	51
0	50
0	50
0	51
0	50
0	55
0	54
0	50
0	50
0	48
0	48
0	48
0	54
0	49
0	47
0	48
0	48
0	48
0	11
0	11
0	48
0	48
0	48
0	48
0	48
0	48
0	41
0	40
0	44
0	42
0	43
0	40
0	44
0	40
0	42
0	16
0	13
0	39
0	41
0	42
0	40
0	41
0	39
0	43
0	44
0	44
0	45
0	43
0	44
0	44
0	43
0	43
0	38
0	42
0	41
0	38
0	39
0	37
0	38
0	38
0	33
0	9
0	9
0	14
0	15
0	16
0	15
0	15
0	12
0	14
0	14
0	14
0	7
0	22
0	22
0	22
0	22
0	20
0	22
0	20
0	20
0	22
0	22
0	21
0	9
0	9
0	36
0	17
0	36
0	17
0	9
0	9
0	9
0	9
0	9
0	21
0	9
0	9
0	39
0	17
0	39
0	17
0	9
0	9
0	9
0	9
0	43
0	45
0	45
0	45
0	43
0	38
0	43
0	15
0	10
0	10
0	10
0	40
0	43
0	45
0	45
0	45
0	38
0	15
0	10
0	10
0	10
0	45
0	40
25	40
16	34
0	43
0	41
0	42
0	42
0	21
0	45
0	43
0	43
0	43
0	43
0	45
0	43
0	45
0	43
0	43
0	45
0	43
0	43
1	42
0	43
0	41
0	41
0	21
0	21
0	23
0	23
0	22
0	22
0	21
0	21
0	21
0	19
0	43
0	19
0	42
0	20
0	44
0	42
0	42
0	42
0	42
0	44
0	42
0	44
0	42
0	20
0	20
0	22
0	22
0	21
0	21
0	20
0	20
0	20
0	42
0	33
0	45
0	45
0	45
0	45
0	45
0	43
0	45
0	45
0	45
0	45
0	45
0	45
0	47
0	47
0	45
0	41
0	45
0	41
0	47
0	43
0	47
0	43
0	45
0	47
0	47
0	43
0	45
0	45
0	47
0	43
0	45
0	47
0	44
0	33
0	33
0	35
0	26
0	47
0	45
0	45
0	37
0	37
0	37
0	45
0	45
0	45
0	45
0	45
0	43
0	45
0	45
0	45
0	45
0	45
0	45
0	47
0	47
0	41
0	45
0	41
0	47
0	43
0	47
0	43
0	45
0	47
0	47
0	43
0	45
0	45
0	47
0	43
0	45
0	47
0	45
0	45
0	37
0	37
0	37
0	73
0	71
0	66
0	55
0	21
0	21
0	21
0	21
0	67
0	60
0	49
0	21
0	21
0	21
0	21
1	69
0	71
0	70
0	27
0	21
3	29
0	27
0	21
0	21
7	21
0	42
0	5
0	42
0	45
0	44
0	42
0	40
0	42
0	40
0	5
0	30
0	32
0	32
0	35
0	32
0	32
0	35
0	35
0	32
0	32
0	35
0	35
0	33
0	5
0	5
0	5
0	5
0	5
8	37
0	35
0	32
0	32
0	32
0	35
0	32
0	32
0	32
0	35
0	32
0	32
0	35
0	32
0	32
0	32
0	35
0	35
0	32
0	35
0	35
0	5
0	5
0	5
0	27
0	27
0	36
0	36
0	36
0	35
0	35
0	35
0	35
0	30
0	40
0	39
0	39
0	38
0	38
0	16
0	27
0	27
0	35
0	35
0	39
0	38
0	35
0	35
0	38
0	30
0	56
0	56
0	54
0	54
0	53
0	53
0	53
0	53
0	53
0	52
0	52
0	28
0	28
0	26
0	37
0	35
0	33
0	33
0	35
0	32
0	33
0	31
0	30
0	27
0	27
0	25
0	22
0	49
0	47
0	50
0	28
0	21
0	27
0	40
0	40
0	20
0	20
0	20
0	55
0	55
0	53
0	53
0	52
0	52
0	52
0	52
0	51
0	28
0	34
1	45
0	43
0	45
0	41
0	44
0	44
0	45
0	45
0	45
0	47
0	44
0	31
0	31
0	30
0	30
0	46
0	46
0	52
0	17
0	46
0	52
0	17
0	41
2	43
1	43
0	42
0	41
0	39
0	37
0	37
0	31
0	37
0	35
0	39
0	37
0	32
0	27
0	39
0	39
0	37
0	35
0	25
0	47
0	43
0	46
0	45
0	48
0	43
0	46
0	45
0	48
0	48
0	46
0	49
0	51
0	46
0	49
0	51
0	47
0	47
0	48
0	46
0	49
0	51
0	51
0	41
0	39
0	39
0	40
0	37
0	37
0	37
0	38
0	16
0	46
0	44
0	44
0	45
0	46
0	46
2	47
0	46
0	54
0	54
0	52
0	52
0	45
0	38
0	35
0	16
0	16
0	34
0	34
0	31
0	55
0	46
0	39
0	36
0	54
0	16
0	34
0	34
0	31
0	29
1	31
0	31
