Module	Section	Sample Name	Source
fastp	all_sections	AbrahamSimpson	/Users/celiamedrano/Documents/2026_MUBI/4-Secuenciación y ómicas de próxima generación/Actividades/mubio03_act2/TallerGrupal_Ficheros/Fastqs/Quality/Trimmed/AbrahamSimpson.json
fastp	all_sections	BartSimpson	/Users/celiamedrano/Documents/2026_MUBI/4-Secuenciación y ómicas de próxima generación/Actividades/mubio03_act2/TallerGrupal_Ficheros/Fastqs/Quality/Trimmed/BartSimpson.json
fastp	all_sections	HomerSimpson	/Users/celiamedrano/Documents/2026_MUBI/4-Secuenciación y ómicas de próxima generación/Actividades/mubio03_act2/TallerGrupal_Ficheros/Fastqs/Quality/Trimmed/HomerSimpson.json
fastp	all_sections	LisaSimpson	/Users/celiamedrano/Documents/2026_MUBI/4-Secuenciación y ómicas de próxima generación/Actividades/mubio03_act2/TallerGrupal_Ficheros/Fastqs/Quality/Trimmed/LisaSimpson.json
fastp	all_sections	MaggieSimpson	/Users/celiamedrano/Documents/2026_MUBI/4-Secuenciación y ómicas de próxima generación/Actividades/mubio03_act2/TallerGrupal_Ficheros/Fastqs/Quality/Trimmed/MaggieSimpson.json
FastQC	all_sections	AbrahamSimpson_R1	/Users/celiamedrano/Documents/2026_MUBI/4-Secuenciación y ómicas de próxima generación/Actividades/mubio03_act2/TallerGrupal_Ficheros/Fastqs/Quality/AbrahamSimpson_R1_fastqc.zip
FastQC	all_sections	AbrahamSimpson_R1_filtered	/Users/celiamedrano/Documents/2026_MUBI/4-Secuenciación y ómicas de próxima generación/Actividades/mubio03_act2/TallerGrupal_Ficheros/Fastqs/Quality/Filtered/AbrahamSimpson_R1_filtered.fastp_fastqc.zip
FastQC	all_sections	AbrahamSimpson_R2	/Users/celiamedrano/Documents/2026_MUBI/4-Secuenciación y ómicas de próxima generación/Actividades/mubio03_act2/TallerGrupal_Ficheros/Fastqs/Quality/AbrahamSimpson_R2_fastqc.zip
FastQC	all_sections	AbrahamSimpson_R2_filtered	/Users/celiamedrano/Documents/2026_MUBI/4-Secuenciación y ómicas de próxima generación/Actividades/mubio03_act2/TallerGrupal_Ficheros/Fastqs/Quality/Filtered/AbrahamSimpson_R2_filtered.fastp_fastqc.zip
FastQC	all_sections	BartSimpson_R1	/Users/celiamedrano/Documents/2026_MUBI/4-Secuenciación y ómicas de próxima generación/Actividades/mubio03_act2/TallerGrupal_Ficheros/Fastqs/Quality/BartSimpson_R1_fastqc.zip
