Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22
AbrahamSimpson_R1	(151, 1320.0)																						
AbrahamSimpson_R2	(151, 1320.0)																						
AbrahamSimpson_trimmed_R1	(45, 1.0)	(50, 0.0)	(55, 0.0)	(60, 4.0)	(65, 0.0)	(70, 0.0)	(75, 6.0)	(80, 0.0)	(85, 1.0)	(90, 4.0)	(95, 5.0)	(100, 2.0)	(105, 0.0)	(110, 14.0)	(115, 10.0)	(120, 0.0)	(125, 31.0)	(130, 23.0)	(135, 20.0)	(140, 15.0)	(145, 26.0)	(150, 1158.0)	
AbrahamSimpson_trimmed_R2	(45, 1.0)	(50, 0.0)	(55, 0.0)	(60, 4.0)	(65, 0.0)	(70, 0.0)	(75, 6.0)	(80, 0.0)	(85, 1.0)	(90, 4.0)	(95, 5.0)	(100, 2.0)	(105, 0.0)	(110, 14.0)	(115, 10.0)	(120, 0.0)	(125, 31.0)	(130, 23.0)	(135, 20.0)	(140, 15.0)	(145, 26.0)	(150, 1158.0)	
BartSimpson_R1	(151, 1328.0)																						
BartSimpson_R2	(151, 1328.0)																						
BartSimpson_trimmed_R1	(40, 1.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 5.0)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 1.0)	(95, 5.0)	(100, 10.0)	(105, 8.0)	(110, 11.0)	(115, 2.0)	(120, 27.0)	(125, 18.0)	(130, 20.0)	(135, 23.0)	(140, 18.0)	(145, 30.0)	(150, 1149.0)
BartSimpson_trimmed_R2	(40, 1.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 5.0)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 1.0)	(95, 5.0)	(100, 10.0)	(105, 8.0)	(110, 11.0)	(115, 2.0)	(120, 27.0)	(125, 18.0)	(130, 20.0)	(135, 23.0)	(140, 18.0)	(145, 30.0)	(150, 1149.0)
HomerSimpson_R1	(151, 1320.0)																						
HomerSimpson_R2	(151, 1320.0)																						
HomerSimpson_trimmed_R1	(45, 1.0)	(50, 0.0)	(55, 1.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 1.0)	(80, 0.0)	(85, 5.0)	(90, 12.0)	(95, 5.0)	(100, 3.0)	(105, 5.0)	(110, 5.0)	(115, 10.0)	(120, 9.0)	(125, 33.0)	(130, 4.0)	(135, 10.0)	(140, 32.0)	(145, 43.0)	(150, 1141.0)	
HomerSimpson_trimmed_R2	(45, 1.0)	(50, 0.0)	(55, 1.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 1.0)	(80, 0.0)	(85, 5.0)	(90, 12.0)	(95, 5.0)	(100, 3.0)	(105, 5.0)	(110, 5.0)	(115, 10.0)	(120, 9.0)	(125, 33.0)	(130, 4.0)	(135, 10.0)	(140, 32.0)	(145, 43.0)	(150, 1141.0)	
LisaSimpson_R1	(151, 1320.0)																						
LisaSimpson_R2	(151, 1320.0)																						
LisaSimpson_trimmed_R1	(40, 1.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 4.0)	(65, 0.0)	(70, 0.0)	(75, 1.0)	(80, 3.0)	(85, 0.0)	(90, 2.0)	(95, 4.0)	(100, 14.0)	(105, 3.0)	(110, 12.0)	(115, 12.0)	(120, 15.0)	(125, 29.0)	(130, 29.0)	(135, 22.0)	(140, 15.0)	(145, 53.0)	(150, 1101.0)
LisaSimpson_trimmed_R2	(40, 1.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 4.0)	(65, 0.0)	(70, 0.0)	(75, 1.0)	(80, 3.0)	(85, 0.0)	(90, 2.0)	(95, 4.0)	(100, 14.0)	(105, 3.0)	(110, 12.0)	(115, 12.0)	(120, 15.0)	(125, 29.0)	(130, 29.0)	(135, 22.0)	(140, 15.0)	(145, 53.0)	(150, 1101.0)
MaggieSimpson_R1	(151, 1328.0)																						
MaggieSimpson_R2	(151, 1328.0)																						
MaggieSimpson_trimmed_R1	(40, 1.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 6.0)	(90, 2.0)	(95, 1.0)	(100, 10.0)	(105, 4.0)	(110, 7.0)	(115, 20.0)	(120, 22.0)	(125, 22.0)	(130, 26.0)	(135, 25.0)	(140, 25.0)	(145, 26.0)	(150, 1131.0)
MaggieSimpson_trimmed_R2	(40, 1.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 6.0)	(90, 2.0)	(95, 1.0)	(100, 10.0)	(105, 4.0)	(110, 7.0)	(115, 20.0)	(120, 22.0)	(125, 22.0)	(130, 26.0)	(135, 25.0)	(140, 25.0)	(145, 26.0)	(150, 1131.0)
MargeSimpson_R1	(151, 1328.0)																						
MargeSimpson_R2	(151, 1352.0)																						
PattyBouvier_R1	(151, 1320.0)																						
PattyBouvier_R2	(151, 1344.0)																						
SelmaBouvier_R1	(151, 1328.0)																						
SelmaBouvier_R2	(151, 1352.0)																						
