Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
AbrahamSimpson_R1	AbrahamSimpson_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1320.0	199.3 kbp	0.0	151.0	46.0	99.16666666666667	151.0	151	pass	pass	pass	pass	fail	pass	pass	pass	warn	pass
AbrahamSimpson_R2	AbrahamSimpson_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1320.0	199.3 kbp	0.0	151.0	46.0	99.24242424242425	151.0	151	pass	pass	pass	pass	fail	pass	pass	pass	warn	pass
AbrahamSimpson_trimmed_R1	AbrahamSimpson_trimmed_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1320.0	195.1 kbp	0.0	49-151	46.0	99.16666666666667	147.85	151	pass	pass	pass	pass	fail	pass	warn	pass	warn	pass
AbrahamSimpson_trimmed_R2	AbrahamSimpson_trimmed_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1320.0	195.1 kbp	0.0	49-151	46.0	99.24242424242425	147.85	151	pass	pass	pass	pass	fail	pass	warn	pass	warn	pass
BartSimpson_R1	BartSimpson_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1328.0	200.5 kbp	0.0	151.0	46.0	99.3975903614458	151.0	151	pass	pass	pass	pass	warn	pass	pass	pass	warn	pass
BartSimpson_R2	BartSimpson_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1328.0	200.5 kbp	0.0	151.0	46.0	99.3975903614458	151.0	151	pass	pass	pass	pass	warn	pass	pass	pass	warn	pass
BartSimpson_trimmed_R1	BartSimpson_trimmed_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1328.0	196.1 kbp	0.0	43-151	46.0	99.3975903614458	147.67093373493975	151	pass	pass	pass	pass	warn	pass	warn	pass	warn	pass
BartSimpson_trimmed_R2	BartSimpson_trimmed_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1328.0	196.1 kbp	0.0	43-151	46.0	99.3975903614458	147.67093373493975	151	pass	pass	pass	pass	warn	pass	warn	pass	warn	pass
HomerSimpson_R1	HomerSimpson_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1320.0	199.3 kbp	0.0	151.0	45.0	99.39393939393939	151.0	151	pass	pass	pass	pass	fail	pass	pass	pass	warn	pass
HomerSimpson_R2	HomerSimpson_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1320.0	199.3 kbp	0.0	151.0	46.0	99.39393939393939	151.0	151	pass	pass	pass	pass	warn	pass	pass	pass	warn	pass
HomerSimpson_trimmed_R1	HomerSimpson_trimmed_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1320.0	195.1 kbp	0.0	49-151	45.0	99.39393939393939	147.81742424242424	151	pass	pass	pass	pass	fail	pass	warn	pass	warn	pass
