Name,AbrahamSimpson,HomerSimpson,BartSimpson,LisaSimpson,MaggieSimpson
XR_007068865.1,0.000,0.000,8.830,0.000,0.000
NM_001377130.1,23.299,7.919,0.000,0.000,0.000
NM_001377129.1,0.000,0.000,0.000,13.505,0.000
XM_047443014.1,0.000,0.000,0.000,0.000,0.000
XM_047443012.1,0.000,0.000,0.000,0.000,0.000
NM_004036.5,0.000,0.000,0.000,0.000,0.000
XM_047443009.1,0.000,0.000,0.000,0.000,0.000
XM_047443010.1,0.000,0.000,0.000,0.000,0.000
NM_001320613.2,0.000,0.000,0.000,0.000,0.000
XM_047443008.1,0.000,10.448,0.000,0.000,0.000
XM_017003187.2,0.000,0.000,0.000,0.000,0.000
XM_011532491.2,0.000,0.000,0.000,0.000,0.000
XM_011532494.2,0.000,0.000,13.168,0.000,0.000
XM_047443013.1,0.000,0.000,10.002,0.000,0.000
NM_001377128.1,0.000,0.000,0.000,0.000,0.000
XM_047443007.1,0.000,0.000,0.000,0.000,15.513
XM_006711925.2,0.000,0.000,0.000,0.000,0.000
XM_047443006.1,0.000,0.000,0.000,0.000,0.000
XM_017003189.2,0.000,0.000,0.000,0.000,0.000
XM_047443011.1,0.000,0.000,0.000,0.000,0.000
XM_011532493.2,0.000,0.000,0.000,18.495,0.000
XM_011532490.2,0.000,0.000,0.000,0.000,0.000
XM_017003188.2,0.000,0.000,0.000,0.000,0.000
XM_011532489.2,0.000,0.000,0.000,0.000,0.000
XM_011532492.3,0.000,0.000,0.000,0.000,0.000
XM_047443005.1,0.000,0.000,0.000,0.000,16.487
NM_001377132.1,0.000,0.000,0.000,0.000,0.000
XM_047443016.1,0.000,0.000,0.000,0.000,0.000
XM_017003191.1,8.701,0.000,0.000,0.000,0.000
NM_001377131.1,0.000,0.000,0.000,0.000,0.000
XM_047443015.1,0.000,13.633,0.000,0.000,0.000
XR_008486253.1,0.000,0.000,0.000,0.000,0.000
XM_054340246.1,0.000,0.000,0.000,0.000,0.000
XM_054340244.1,0.000,0.000,0.000,0.000,0.000
XM_054340241.1,0.000,0.000,0.000,0.000,0.000
XM_054340242.1,0.000,0.000,0.000,0.000,0.000
XM_054340240.1,0.000,0.000,0.000,0.000,0.000
XM_054340231.1,0.000,0.000,0.000,0.000,0.000
XM_054340230.1,0.000,0.000,0.000,0.000,0.000
XM_054340239.1,0.000,0.000,0.000,0.000,0.000
XM_054340245.1,0.000,0.000,0.000,0.000,0.000
XM_054340238.1,0.000,0.000,0.000,0.000,0.000
XM_054340229.1,0.000,0.000,0.000,0.000,0.000
XM_054340237.1,0.000,0.000,0.000,0.000,0.000
XM_054340236.1,0.000,0.000,0.000,0.000,0.000
XM_054340243.1,0.000,0.000,0.000,0.000,0.000
XM_054340235.1,0.000,0.000,0.000,0.000,0.000
XM_054340228.1,0.000,0.000,0.000,0.000,0.000
XM_054340233.1,0.000,0.000,0.000,0.000,0.000
XM_054340227.1,0.000,0.000,0.000,0.000,0.000
XM_054340232.1,0.000,0.000,0.000,0.000,0.000
XM_054340234.1,0.000,0.000,0.000,0.000,0.000
XM_054340249.1,0.000,0.000,0.000,0.000,0.000
XM_054340247.1,0.000,0.000,0.000,0.000,0.000
XM_054340248.1,0.000,0.000,0.000,0.000,0.000
NM_001138.2,32.000,26.295,32.000,29.283,27.113
XM_047433694.1,0.000,5.705,0.000,2.717,4.887
NM_032139.3,32.000,32.000,32.000,32.000,32.000
XM_011537912.3,0.000,0.000,0.000,0.000,0.000
XM_011537911.3,0.000,0.000,0.000,13.661,0.000
XM_047428302.1,0.000,0.000,0.000,0.000,0.000
XM_011537913.3,0.000,0.000,17.648,18.339,23.171
XM_047428308.1,0.000,0.000,0.000,0.000,0.000
XM_011537915.3,12.060,0.000,0.000,0.000,0.000
XM_047428305.1,0.000,0.000,0.000,0.000,0.000
XM_047428303.1,0.000,0.000,0.000,0.000,0.000
XM_047428307.1,0.000,0.000,0.000,0.000,0.000
XM_047428306.1,0.000,0.000,0.000,0.000,0.000
XM_011537918.3,0.000,3.704,1.356,0.000,8.829
NM_001286615.2,0.000,0.000,0.000,0.000,0.000
NM_178826.4,0.000,0.000,0.000,0.000,0.000
XM_011537916.3,0.000,0.000,12.996,0.000,0.000
NM_001286616.1,0.000,28.296,0.000,0.000,0.000
XM_024448842.2,0.000,0.000,0.000,0.000,0.000
XM_024448841.2,19.940,0.000,0.000,0.000,0.000
XM_054371108.1,0.000,0.000,0.000,0.000,0.000
XM_054371111.1,0.000,0.000,0.000,0.000,0.000
XM_054371105.1,0.000,0.000,0.000,0.000,0.000
XM_054371107.1,0.000,0.000,0.000,0.000,0.000
XM_054371106.1,0.000,0.000,0.000,0.000,0.000
XM_054371104.1,0.000,0.000,0.000,0.000,0.000
XM_054371113.1,0.000,0.000,0.000,0.000,0.000
XM_054371112.1,0.000,0.000,0.000,0.000,0.000
XM_054371109.1,0.000,0.000,0.000,0.000,0.000
XM_054371110.1,0.000,0.000,0.000,0.000,0.000
XM_054371117.1,0.000,0.000,0.000,0.000,0.000
XM_054371114.1,0.000,0.000,0.000,0.000,0.000
NM_170731.5,3.271,0.000,0.000,0.000,0.000
NM_001143805.1,11.576,21.860,0.000,0.000,6.401
NM_001143806.1,0.000,0.000,0.000,0.000,18.700
NM_170732.4,0.000,10.140,45.989,0.000,0.000
NM_001143807.2,0.000,0.000,0.000,33.519,0.000
NM_170733.4,4.620,0.000,0.000,0.000,30.898
NM_001143808.2,0.000,0.000,10.011,0.000,0.000
NM_001143809.2,8.191,0.000,0.000,0.000,0.000
NM_001143810.2,4.342,0.000,0.000,8.687,0.000
NM_001143811.2,0.000,0.000,0.000,0.000,0.000
