Name,AbrahamSimpson,HomerSimpson,BartSimpson,LisaSimpson,MaggieSimpson
XR_007068865.1,0.000,0.000,8.830,0.000,0.000
NM_001377130.1,23.298,7.917,0.000,0.000,0.000
NM_001377129.1,0.000,0.000,0.000,13.505,0.000
XM_047443014.1,0.000,0.000,0.000,0.000,0.000
XM_047443012.1,0.000,0.000,0.000,0.000,0.000
NM_004036.5,0.000,0.000,0.000,0.000,0.000
XM_047443009.1,0.000,0.000,0.000,0.000,0.000
XM_047443010.1,0.000,0.000,0.000,0.000,0.000
NM_001320613.2,0.000,0.000,0.000,0.000,0.000
XM_047443008.1,0.000,10.453,0.000,0.000,0.000
XM_017003187.2,0.000,0.000,0.000,0.000,0.000
XM_011532491.2,0.000,0.000,0.000,0.000,0.000
XM_011532494.2,0.000,0.000,13.169,0.000,0.000
XM_047443013.1,0.000,0.000,10.001,0.000,0.000
NM_001377128.1,0.000,0.000,0.000,0.000,0.000
XM_047443007.1,0.000,0.000,0.000,0.000,15.516
XM_006711925.2,0.000,0.000,0.000,0.000,0.000
XM_047443006.1,0.000,0.000,0.000,0.000,0.000
XM_017003189.2,0.000,0.000,0.000,0.000,0.000
XM_047443011.1,0.000,0.000,0.000,0.000,0.000
XM_011532493.2,0.000,0.000,0.000,18.495,0.000
XM_011532490.2,0.000,0.000,0.000,0.000,0.000
XM_017003188.2,0.000,0.000,0.000,0.000,0.000
XM_011532489.2,0.000,0.000,0.000,0.000,0.000
XM_011532492.3,0.000,0.000,0.000,0.000,0.000
XM_047443005.1,0.000,0.000,0.000,0.000,16.484
NM_001377132.1,0.000,0.000,0.000,0.000,0.000
XM_047443016.1,0.000,0.000,0.000,0.000,0.000
XM_017003191.1,8.702,0.000,0.000,0.000,0.000
NM_001377131.1,0.000,0.000,0.000,0.000,0.000
XM_047443015.1,0.000,13.630,0.000,0.000,0.000
XR_008486253.1,0.000,0.000,0.000,0.000,0.000
XM_054340246.1,0.000,0.000,0.000,0.000,0.000
XM_054340244.1,0.000,0.000,0.000,0.000,0.000
XM_054340241.1,0.000,0.000,0.000,0.000,0.000
XM_054340242.1,0.000,0.000,0.000,0.000,0.000
XM_054340240.1,0.000,0.000,0.000,0.000,0.000
XM_054340231.1,0.000,0.000,0.000,0.000,0.000
XM_054340230.1,0.000,0.000,0.000,0.000,0.000
XM_054340239.1,0.000,0.000,0.000,0.000,0.000
XM_054340245.1,0.000,0.000,0.000,0.000,0.000
XM_054340238.1,0.000,0.000,0.000,0.000,0.000
XM_054340229.1,0.000,0.000,0.000,0.000,0.000
XM_054340237.1,0.000,0.000,0.000,0.000,0.000
XM_054340236.1,0.000,0.000,0.000,0.000,0.000
XM_054340243.1,0.000,0.000,0.000,0.000,0.000
XM_054340235.1,0.000,0.000,0.000,0.000,0.000
XM_054340228.1,0.000,0.000,0.000,0.000,0.000
XM_054340233.1,0.000,0.000,0.000,0.000,0.000
XM_054340227.1,0.000,0.000,0.000,0.000,0.000
XM_054340232.1,0.000,0.000,0.000,0.000,0.000
XM_054340234.1,0.000,0.000,0.000,0.000,0.000
XM_054340249.1,0.000,0.000,0.000,0.000,0.000
XM_054340247.1,0.000,0.000,0.000,0.000,0.000
XM_054340248.1,0.000,0.000,0.000,0.000,0.000
NM_001138.2,32.000,26.214,32.000,29.257,27.183
XM_047433694.1,0.000,5.786,0.000,2.743,4.817
NM_032139.3,32.000,32.000,32.000,32.000,32.000
XM_011537912.3,0.000,0.000,0.000,0.000,0.000
XM_011537911.3,0.000,0.000,0.000,13.671,0.000
