Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58
AbrahamSimpson_R1	(1, 35.75909090909091)	(2, 36.28787878787879)	(3, 36.14848484848485)	(4, 36.2030303030303)	(5, 36.14393939393939)	(6, 36.374242424242425)	(7, 36.39090909090909)	(8, 36.71818181818182)	(9, 36.096969696969694)	(10, 36.268787878787876)	(15, 36.514545454545456)	(20, 36.36575757575758)	(25, 36.06363636363636)	(30, 36.339696969696966)	(35, 36.20666666666667)	(40, 36.42787878787879)	(45, 36.40090909090909)	(50, 36.17212121212121)	(55, 36.24939393939394)	(60, 36.267575757575756)	(65, 36.32090909090908)	(70, 36.004545454545465)	(75, 36.03878787878788)	(80, 36.05151515151515)	(85, 35.973030303030306)	(90, 36.06393939393939)	(95, 36.20333333333333)	(100, 35.907878787878786)	(105, 36.11787878787878)	(110, 36.10424242424243)	(115, 36.195757575757575)	(120, 36.166060606060604)	(125, 36.05090909090909)	(130, 35.62454545454545)	(135, 36.07757575757576)	(140, 35.86363636363636)	(145, 35.990303030303025)	(150, 35.96515151515152)																					
AbrahamSimpson_R1_filtered	(1, 35.75909090909091)	(2, 36.28787878787879)	(3, 36.14848484848485)	(4, 36.2030303030303)	(5, 36.14393939393939)	(6, 36.374242424242425)	(7, 36.39090909090909)	(8, 36.71818181818182)	(9, 36.096969696969694)	(10, 36.32954545454545)	(12, 36.30833333333334)	(14, 36.276515151515156)	(16, 36.47727272727273)	(18, 36.56666666666666)	(20, 36.33939393939394)	(22, 36.43939393939394)	(24, 36.12651515151515)	(26, 36.071969696969695)	(28, 36.09621212121212)	(30, 36.21818181818182)	(32, 36.4189393939394)	(34, 36.43712121212121)	(36, 36.08863636363637)	(38, 36.2030303030303)	(40, 36.48257575757576)	(42, 36.26439393939394)	(44, 36.567424242424245)	(46, 36.486363636363635)	(48, 36.27121212121212)	(50, 36.20470053070508)	(52, 36.009097801364675)	(54, 36.61865049279757)	(56, 36.145564821834725)	(58, 36.07733131159969)	(60, 36.23502653525398)	(62, 36.298711144806674)	(64, 36.29312908442564)	(66, 36.32091254752852)	(68, 36.320152091254755)	(70, 36.14144486692015)	(72, 35.99847908745247)	(74, 35.899619771863115)	(76, 36.00028574927542)	(78, 36.04583651642476)	(80, 36.055003819709704)	(82, 36.08479755538579)	(84, 36.06340718105424)	(86, 36.10466004583652)	(88, 35.7489148286504)	(90, 36.25688073394495)	(92, 35.93390564567642)	(94, 36.106953004351276)	(96, 36.2247882986913)	(98, 36.194765204003076)	(100, 35.846805234795994)	(102, 35.9514263685428)	(104, 36.121819583654585)	(106, 35.95990747879723)	(108, 36.28450269853508)
AbrahamSimpson_R2	(1, 36.20757575757576)	(2, 36.21666666666667)	(3, 36.28787878787879)	(4, 36.39242424242424)	(5, 36.04090909090909)	(6, 36.21363636363636)	(7, 36.53181818181818)	(8, 36.595454545454544)	(9, 36.301515151515154)	(10, 36.44424242424243)	(15, 36.3230303030303)	(20, 36.36757575757575)	(25, 36.00090909090909)	(30, 36.14575757575758)	(35, 35.993636363636355)	(40, 36.019090909090906)	(45, 36.17636363636363)	(50, 36.089696969696966)	(55, 35.958484848484844)	(60, 35.96606060606061)	(65, 36.07939393939394)	(70, 35.730909090909094)	(75, 36.04242424242425)	(80, 36.026666666666664)	(85, 36.11)	(90, 35.90060606060606)	(95, 35.94272727272727)	(100, 36.018484848484846)	(105, 35.86454545454545)	(110, 35.7269696969697)	(115, 36.04727272727273)	(120, 35.81333333333333)	(125, 35.94151515151515)	(130, 35.58121212121212)	(135, 35.54515151515152)	(140, 35.4669696969697)	(145, 35.55636363636364)	(150, 35.70454545454545)																					
AbrahamSimpson_R2_filtered	(1, 36.20757575757576)	(2, 36.21666666666667)	(3, 36.28787878787879)	(4, 36.39242424242424)	(5, 36.04090909090909)	(6, 36.21363636363636)	(7, 36.53181818181818)	(8, 36.595454545454544)	(9, 36.301515151515154)	(10, 36.41742424242425)	(12, 36.50606060606061)	(14, 36.394696969696966)	(16, 36.38333333333333)	(18, 36.21666666666667)	(20, 36.38787878787879)	(22, 36.369696969696975)	(24, 36.26893939393939)	(26, 35.86590909090909)	(28, 36.02878787878788)	(30, 36.15681818181818)	(32, 36.175)	(34, 36.06439393939394)	(36, 35.81212121212121)	(38, 36.140151515151516)	(40, 35.97575757575758)	(42, 35.95151515151515)	(44, 36.19469696969697)	(46, 36.10378787878788)	(48, 36.26287878787879)	(50, 36.04624715693707)	(52, 35.98559514783927)	(54, 36.291887793783175)	(56, 36.01819560272934)	(58, 35.779378316906744)	(60, 35.827141774071265)	(62, 36.13646702047005)	(64, 36.07922697515401)	(66, 36.19315589353612)	(68, 35.88973384030418)	(70, 35.61292775665399)	(72, 35.86007604562737)	(74, 35.752851711026615)	(76, 36.357786667755235)	(78, 35.82047364400306)	(80, 36.11535523300229)	(82, 35.84339190221543)	(84, 36.270435446906035)	(86, 36.059587471352174)	(88, 36.04085629247529)	(90, 35.98241590214067)	(92, 35.6990651373807)	(94, 35.97034080294404)	(96, 35.920708237105465)	(98, 36.053117782909936)	(100, 36.161662817551964)	(102, 36.044718581341556)	(104, 35.77640709329221)	(106, 35.91595990747879)	(108, 35.91133384734002)
BartSimpson_R1	(1, 36.34939759036145)	(2, 36.28313253012048)	(3, 36.19277108433735)	(4, 36.17921686746988)	(5, 36.454819277108435)	(6, 36.506024096385545)	(7, 36.498493975903614)	(8, 36.30722891566265)	(9, 36.49548192771084)	(10, 36.42801204819277)	(15, 36.380722891566265)	(20, 36.32078313253012)	(25, 36.482530120481925)	(30, 36.43795180722891)	(35, 36.42409638554217)	(40, 36.064006024096386)	(45, 36.10361445783133)	(50, 36.39518072289157)	(55, 36.274698795180726)	(60, 36.14578313253012)	(65, 36.15512048192771)	(70, 36.2222891566265)	(75, 36.08780120481928)	(80, 36.18298192771085)	(85, 35.99066265060241)	(90, 36.29728915662651)	(95, 36.111746987951804)	(100, 36.0921686746988)	(105, 36.15963855421687)	(110, 36.08343373493976)	(115, 35.94819277108434)	(120, 35.91596385542169)	(125, 35.908734939759036)	(130, 36.13012048192771)	(135, 36.138253012048196)	(140, 35.873192771084334)	(145, 36.130421686746985)	(150, 36.08960843373494)																					
BartSimpson_R1_filtered	(1, 36.34939759036145)	(2, 36.28313253012048)	(3, 36.19277108433735)	(4, 36.17921686746988)	(5, 36.454819277108435)	(6, 36.506024096385545)	(7, 36.498493975903614)	(8, 36.30722891566265)	(9, 36.49548192771084)	(10, 36.383283132530124)	(12, 36.51506024096386)	(14, 36.43674698795181)	(16, 36.25301204819277)	(18, 36.433734939759034)	(20, 36.49246987951807)	(22, 36.2296686746988)	(24, 36.2612951807229)	(26, 36.484939759036145)	(28, 36.53990963855422)	(30, 36.48569277108433)	(32, 36.387801204819276)	(34, 36.51807228915663)	(36, 36.23418674698795)	(38, 36.52936746987952)	(40, 36.096385542168676)	(42, 36.00188253012048)	(44, 36.05048982667671)	(46, 36.189902034664655)	(48, 36.08289374529013)	(50, 36.13564431047476)	(52, 36.59758854559156)	(54, 36.451394122079876)	(56, 36.28786737000753)	(58, 36.21401657874905)	(60, 36.12509419743783)	(62, 36.08477201094338)	(64, 35.86913767019667)	(66, 36.39031770045386)	(68, 36.27458396369138)	(70, 36.255673222390314)	(72, 36.14674735249622)	(74, 36.081694402420574)	(76, 36.216338880484116)	(78, 36.07829046898638)	(80, 36.170953101361576)	(82, 36.30030257186081)	(84, 35.958018154311645)	(86, 35.93797276853253)	(88, 36.05068078668684)	(90, 36.41225416036309)	(92, 36.0642965204236)	(94, 36.350674716925816)	(96, 35.9764973464746)	(98, 36.20090978013647)	(100, 36.036474164133736)	(102, 36.21219460289702)	(104, 36.10797024987861)	(106, 36.07580398162328)	(108, 36.31846153846154)
BartSimpson_R2	(1, 36.3027108433735)	(2, 36.36746987951807)	(3, 36.17620481927711)	(4, 36.56325301204819)	(5, 36.2605421686747)	(6, 36.274096385542165)	(7, 36.420180722891565)	(8, 36.41415662650602)	(9, 36.56174698795181)	(10, 36.42620481927711)	(15, 36.30301204819277)	(20, 36.35632530120482)	(25, 36.267469879518075)	(30, 36.225)	(35, 35.76174698795181)	(40, 36.08253012048193)	(45, 36.21114457831326)	(50, 36.080120481927715)	(55, 36.14608433734939)	(60, 36.06566265060241)	(65, 36.0117469879518)	(70, 36.171987951807225)	(75, 35.89668674698795)	(80, 35.5710843373494)	(85, 35.769277108433734)	(90, 36.064156626506026)	(95, 36.093674698795176)	(100, 35.593674698795176)	(105, 35.84789156626506)	(110, 36.02981927710843)	(115, 35.993975903614455)	(120, 35.91234939759036)	(125, 35.7117469879518)	(130, 35.55)	(135, 35.83072289156627)	(140, 35.64638554216867)	(145, 35.54518072289157)	(150, 35.58810240963855)																					
BartSimpson_R2_filtered	(1, 36.3027108433735)	(2, 36.36746987951807)	(3, 36.17620481927711)	(4, 36.56325301204819)	(5, 36.2605421686747)	(6, 36.274096385542165)	(7, 36.420180722891565)	(8, 36.41415662650602)	(9, 36.56174698795181)	(10, 36.295180722891565)	(12, 36.5308734939759)	(14, 36.456325301204814)	(16, 36.202560240963855)	(18, 36.33810240963855)	(20, 36.28237951807229)	(22, 36.362198795180724)	(24, 36.33207831325301)	(26, 36.24774096385542)	(28, 36.33509036144578)	(30, 36.35165662650603)	(32, 36.198042168674704)	(34, 36.098644578313255)	(36, 35.633283132530124)	(38, 35.68524096385542)	(40, 36.02334337349397)	(42, 36.096385542168676)	(44, 36.25320271288621)	(46, 36.345139412207985)	(48, 36.01431801055011)	(50, 35.773172569706105)	(52, 36.25320271288621)	(54, 36.192916352675205)	(56, 36.182366239638284)	(58, 36.170308967596085)	(60, 36.234363225320266)	(62, 35.95137877770087)	(64, 35.9894099848714)	(66, 35.7927382753404)	(68, 36.22465960665659)	(70, 36.23978819969743)	(72, 36.2428139183056)	(74, 35.87065052950076)	(76, 35.80257186081694)	(78, 36.01210287443268)	(80, 35.64069591527988)	(82, 35.50453857791226)	(84, 35.57791225416036)	(86, 35.71104387291982)	(88, 35.98789712556732)	(90, 35.96671709531014)	(92, 36.14447806354009)	(94, 36.036685406576645)	(96, 36.04624715693707)	(98, 36.1751326762699)	(100, 35.75075987841945)	(102, 35.44424088492873)	(104, 35.58227388600456)	(106, 36.05666156202144)	(108, 35.487692307692306)
HomerSimpson_R1	(1, 36.35909090909091)	(2, 36.45)	(3, 36.156060606060606)	(4, 36.198484848484846)	(5, 36.06363636363636)	(6, 36.6)	(7, 36.24848484848485)	(8, 36.52878787878788)	(9, 36.67727272727273)	(10, 36.38575757575758)	(15, 36.40393939393939)	(20, 36.33242424242424)	(25, 36.34181818181818)	(30, 36.199999999999996)	(35, 36.18303030303031)	(40, 36.17939393939394)	(45, 36.18848484848485)	(50, 36.14333333333333)	(55, 36.31424242424243)	(60, 36.10939393939394)	(65, 36.17636363636363)	(70, 36.21333333333333)	(75, 36.15666666666666)	(80, 36.22545454545455)	(85, 36.04333333333334)	(90, 35.979696969696974)	(95, 35.95469696969697)	(100, 35.987878787878785)	(105, 35.96212121212121)	(110, 35.96333333333333)	(115, 35.6760606060606)	(120, 36.13454545454546)	(125, 36.03969696969697)	(130, 36.14333333333333)	(135, 36.03121212121212)	(140, 35.988787878787875)	(145, 35.89060606060606)	(150, 36.07575757575758)																					
HomerSimpson_R1_filtered	(1, 36.35909090909091)	(2, 36.45)	(3, 36.156060606060606)	(4, 36.198484848484846)	(5, 36.06363636363636)	(6, 36.6)	(7, 36.24848484848485)	(8, 36.52878787878788)	(9, 36.67727272727273)	(10, 36.36363636363636)	(12, 36.47272727272727)	(14, 36.38484848484849)	(16, 36.43333333333334)	(18, 36.31969696969697)	(20, 36.19242424242424)	(22, 36.42045454545455)	(24, 36.325)	(26, 36.36590909090909)	(28, 36.38181818181818)	(30, 36.36363636363636)	(32, 36.36666666666667)	(34, 35.80530303030303)	(36, 36.21363636363637)	(38, 36.208333333333336)	(40, 36.124242424242425)	(42, 36.18560606060606)	(44, 36.15833333333333)	(46, 36.240909090909085)	(48, 36.21060606060606)	(50, 35.896133434420015)	(52, 36.39651250947688)	(54, 36.30553449583017)	(56, 36.370484031103715)	(58, 36.18133535660091)	(60, 36.05993930197269)	(62, 36.270864946889226)	(64, 35.99924127465857)	(66, 36.04476479514416)	(68, 36.34294385432473)	(70, 36.06145675265554)	(72, 36.32852807283763)	(74, 36.177541729893775)	(76, 36.24548250207685)	(78, 36.10933940774487)	(80, 36.250569476082006)	(82, 36.28397873955961)	(84, 36.09491268033409)	(86, 36.16173120728929)	(88, 35.87994780163466)	(90, 36.05030487804878)	(92, 35.87728658536585)	(94, 35.95421391828771)	(96, 35.90384615384615)	(98, 36.00733024691358)	(100, 35.70361535794972)	(102, 36.15789473684211)	(104, 36.03947368421053)	(106, 35.927075252133434)	(108, 36.24475524475525)
HomerSimpson_R2	(1, 36.13939393939394)	(2, 36.17272727272727)	(3, 36.236363636363635)	(4, 36.45757575757576)	(5, 36.11515151515152)	(6, 36.47121212121212)	(7, 36.49090909090909)	(8, 36.474242424242426)	(9, 36.43333333333333)	(10, 36.339696969696966)	(15, 36.2060606060606)	(20, 36.18030303030303)	(25, 36.228181818181824)	(30, 36.29424242424243)	(35, 36.155757575757576)	(40, 36.25242424242424)	(45, 36.1469696969697)	(50, 36.21848484848485)	(55, 35.8)	(60, 36.06575757575757)	(65, 35.82939393939394)	(70, 35.975151515151516)	(75, 36.00030303030303)	(80, 35.8209090909091)	(85, 35.81090909090909)	(90, 35.85575757575758)	(95, 35.79848484848485)	(100, 35.84666666666667)	(105, 35.84242424242424)	(110, 35.620303030303035)	(115, 35.63212121212121)	(120, 35.87212121212121)	(125, 35.736666666666665)	(130, 35.71757575757576)	(135, 35.50333333333333)	(140, 35.590606060606056)	(145, 35.75484848484849)	(150, 35.736363636363635)																					
HomerSimpson_R2_filtered	(1, 36.13939393939394)	(2, 36.17272727272727)	(3, 36.236363636363635)	(4, 36.45757575757576)	(5, 36.11515151515152)	(6, 36.47121212121212)	(7, 36.49090909090909)	(8, 36.474242424242426)	(9, 36.43333333333333)	(10, 36.462878787878786)	(12, 36.32651515151515)	(14, 36.31060606060606)	(16, 36.165909090909096)	(18, 36.098484848484844)	(20, 36.13787878787879)	(22, 36.106818181818184)	(24, 36.3310606060606)	(26, 36.137121212121215)	(28, 36.30833333333334)	(30, 36.5719696969697)	(32, 36.15909090909091)	(34, 36.122727272727275)	(36, 36.18257575757576)	(38, 36.08863636363637)	(40, 36.06212121212121)	(42, 36.45530303030303)	(44, 36.19318181818181)	(46, 36.19015151515151)	(48, 36.09772727272727)	(50, 36.21000758150113)	(52, 36.21228203184231)	(54, 36.09325246398787)	(56, 35.837290516450935)	(58, 35.692716236722305)	(60, 35.95827010622155)	(62, 36.170713201820945)	(64, 35.90364188163885)	(66, 35.95447647951441)	(68, 35.74279210925645)	(70, 35.850531107739)	(72, 36.05386949924127)	(74, 35.81259484066768)	(76, 36.07485801984784)	(78, 36.15261958997722)	(80, 35.700835231586936)	(82, 35.912680334092634)	(84, 36.03037205770691)	(86, 35.82687927107062)	(88, 35.622882400662874)	(90, 35.69131097560975)	(92, 36.06478658536585)	(94, 35.68969963933069)	(96, 35.713076923076926)	(98, 35.9537037037037)	(100, 35.79247044479243)	(102, 35.79566563467492)	(104, 35.88854489164086)	(106, 35.83708301008534)	(108, 36.13442113442113)
LisaSimpson_R1	(1, 36.74545454545454)	(2, 36.31212121212121)	(3, 36.21666666666667)	(4, 35.78939393939394)	(5, 36.60757575757576)	(6, 36.43636363636364)	(7, 36.59090909090909)	(8, 36.346969696969694)	(9, 36.27121212121212)	(10, 36.18515151515152)	(15, 36.39818181818182)	(20, 36.36333333333333)	(25, 36.355606060606064)	(30, 36.2109090909091)	(35, 36.17121212121212)	(40, 36.08060606060606)	(45, 36.3239393939394)	(50, 36.14727272727272)	(55, 36.16666666666667)	(60, 36.238787878787875)	(65, 36.22636363636364)	(70, 35.913333333333334)	(75, 35.84909090909091)	(80, 35.76818181818182)	(85, 36.156969696969696)	(90, 35.8209090909091)	(95, 35.85909090909091)	(100, 35.95)	(105, 35.81454545454545)	(110, 35.67575757575757)	(115, 35.585151515151516)	(120, 35.85181818181818)	(125, 35.87333333333333)	(130, 35.904242424242426)	(135, 35.769393939393936)	(140, 35.974242424242426)	(145, 35.74606060606061)	(150, 36.15227272727273)																					
